country,year,lat,lon,GID_1,GID_2,wealthpooled,households,urban_rural
ethiopia,2016,14.2223987009,38.1636176619,ETH.11,ETH.11.5,-0.919368267059326,26,0
ethiopia,2016,11.3400421643,35.1267344697,ETH.4,ETH.4.3,-0.894004046916962,26,0
ethiopia,2016,9.31146057231,42.1232086877,ETH.7,ETH.7.1,0.154423221945763,28,1
ethiopia,2016,13.688925801,37.6946570509,ETH.11,ETH.11.3,-0.906030416488647,28,0
ethiopia,2016,11.5741840139,36.4981235804,ETH.3,ETH.3.1,-0.369300961494446,25,0
ethiopia,2016,8.30377560499,33.8057684337,ETH.6,ETH.6.3,-1.15870773792267,26,0
ethiopia,2016,8.92887285233,38.7374729726,ETH.1,ETH.1.1,0.510364770889282,27,1
ethiopia,2016,8.315696,37.733714,ETH.10,ETH.10.12,-0.573517620563507,28,0
ethiopia,2016,14.034141763,39.8984877193,ETH.2,ETH.2.2,-0.806618571281433,21,0
ethiopia,2016,8.98361773473,38.7709785445,ETH.1,ETH.1.1,1.04833674430847,27,1
ethiopia,2016,8.00171111956,34.5370719142,ETH.6,ETH.6.1,-0.367398709058762,28,0
ethiopia,2016,8.38974672286,33.2585570252,ETH.6,ETH.6.3,-0.998988211154938,27,0
ethiopia,2016,10.4553762219,38.8275864982,ETH.3,ETH.3.5,-0.982458174228668,28,0
ethiopia,2016,14.3902682168,37.7733924788,ETH.11,ETH.11.5,1.01502239704132,27,1
ethiopia,2016,7.45367432157,46.9552302945,ETH.9,ETH.9.2,-0.710146725177765,26,0
ethiopia,2016,7.62938018427,34.4221686641,ETH.6,ETH.6.1,-0.912940561771393,25,0
ethiopia,2016,7.83472689648,38.0491845438,ETH.10,ETH.10.20,-0.75131493806839,26,0
ethiopia,2016,7.63144104394,37.8614587729,ETH.10,ETH.10.13,-0.743597805500031,27,0
ethiopia,2016,9.57941251182,41.859528205,ETH.5,ETH.5.1,1.34342205524445,27,1
ethiopia,2016,9.06596004508,38.7070463109,ETH.1,ETH.1.1,1.06412029266357,28,1
ethiopia,2016,9.42259906558,34.4098596392,ETH.4,ETH.4.1,-0.827975749969482,28,0
ethiopia,2016,10.7174222822,40.3445246569,ETH.2,ETH.2.5,-0.928821384906769,21,0
ethiopia,2016,9.10716776576,43.165843148,ETH.9,ETH.9.3,0.171926081180573,24,1
ethiopia,2016,6.27305604365,42.6881454986,ETH.9,ETH.9.8,-1.08530902862549,24,0
ethiopia,2016,12.6699148305,36.7750821662,ETH.3,ETH.3.10,-0.958732008934021,28,0
ethiopia,2016,9.16465948082,36.9951261256,ETH.8,ETH.8.16,-0.868847966194153,26,0
ethiopia,2016,9.56143243219,42.0372149602,ETH.5,ETH.5.1,-0.702682912349701,27,0
ethiopia,2016,9.5863156777,41.8444121144,ETH.5,ETH.5.1,1.07289659976959,24,1
ethiopia,2016,10.3819871993,40.2657957695,ETH.2,ETH.2.5,-0.916173815727234,19,0
ethiopia,2016,7.63806616,34.2660338272,ETH.6,ETH.6.1,-0.597943007946014,23,1
ethiopia,2016,10.5000952147,34.3793981266,ETH.4,ETH.4.1,-0.24883434176445,28,0
ethiopia,2016,7.12501301663,40.7178008968,ETH.8,ETH.8.2,0.979363918304443,24,1
ethiopia,2016,9.05826372907,38.8365541159,ETH.1,ETH.1.1,0.489533126354218,26,1
ethiopia,2016,9.37136080797,42.1572508415,ETH.7,ETH.7.1,-0.123933255672455,25,0
ethiopia,2016,6.79195292766,40.3516627673,ETH.8,ETH.8.2,-1.11436414718628,27,0
ethiopia,2016,8.59358011947,39.1212931299,ETH.8,ETH.8.15,1.43267750740051,24,1
ethiopia,2016,8.24957585594,34.5920090167,ETH.6,ETH.6.1,0.923441350460052,19,1
ethiopia,2016,12.1903929217,37.0431333861,ETH.3,ETH.3.10,0.442377984523773,24,1
